,emotion,timestamp
903,0.921022,08-09 10
904,0.010474,08-09 10
905,0.997177,08-01 11
906,0.000024,08-09 10
907,0.000006,08-09 10
908,0.056340,08-09 10
909,0.002364,08-09 10
910,0.000445,08-09 10
911,0.784901,08-09 10
912,0.010924,08-09 09
913,0.643959,08-09 10
914,0.052791,08-09 10
915,0.012178,08-09 10
916,0.704941,08-09 10
917,0.006772,08-09 10
918,0.022508,08-09 10
919,0.151819,08-09 10
920,0.994909,08-09 10
921,0.012962,08-09 10
922,0.998775,08-09 10
923,0.016263,08-09 10
924,0.135411,08-09 10
925,0.961370,08-09 10
926,0.001612,08-09 10
927,0.999813,08-09 10
928,0.959068,08-09 10
929,0.011223,08-09 10
930,0.966589,08-09 10
931,0.997920,08-09 10
932,0.995009,08-09 10
933,0.683533,08-09 10
934,0.602370,08-09 10
935,0.999790,07-29 01
936,0.054491,08-09 10
937,0.265959,08-09 10
938,0.715795,08-09 10
939,0.076409,08-09 10
940,1.000000,08-09 10
941,0.949438,08-09 10
942,0.005204,08-09 10
943,0.854537,08-09 10
944,0.002110,08-07 03
945,0.428945,08-09 10
946,0.006943,08-09 10
947,0.075148,08-09 10
948,0.005976,08-09 10
949,0.007870,08-09 10
950,0.080771,08-09 10
951,0.999864,08-09 10
952,0.005645,08-09 10
953,0.343662,08-09 10
954,0.047173,08-09 10
955,0.090015,08-09 10
956,0.984551,08-09 10
957,0.008814,08-09 10
958,0.182763,08-09 10
959,0.024304,08-09 10
960,0.001531,08-09 10
961,0.950363,08-09 10
962,0.042353,08-09 10
963,0.000317,08-09 10
964,0.075699,08-09 10
965,0.993131,08-09 10
966,0.025043,08-09 10
967,0.598079,08-09 10
968,0.266767,08-09 10
969,0.631976,08-09 10
970,0.408005,08-09 10
971,0.891317,08-09 10
972,0.997259,08-09 10
973,0.861373,08-09 10
974,0.861373,08-09 10
975,0.406734,08-09 10
976,0.861284,08-09 10
977,0.000010,08-09 10
978,0.601274,08-09 10
979,0.000005,08-09 10
980,0.370043,08-09 10
981,0.049495,08-09 10
982,0.805517,08-09 10
983,0.973672,08-09 10
984,0.107633,08-09 10
985,0.002591,08-09 10
986,0.018008,08-09 10
987,0.911741,08-09 10
988,0.874674,08-09 10
989,0.003853,08-09 10
990,0.985982,08-09 10
991,0.013151,08-09 10
992,0.769557,08-09 10
993,0.999999,08-09 10
994,0.532742,08-09 10
995,0.832861,08-09 10
996,0.911741,08-09 10
997,0.008584,08-09 10
998,0.102707,08-09 10
999,0.999998,08-09 10
1000,0.000051,08-09 10
1001,0.000005,08-09 10
1002,0.994009,08-09 10
1003,0.946668,08-09 10
1004,0.809842,08-09 10
1005,0.033690,08-09 10
1006,0.080771,08-08 07
1007,0.007683,08-09 10
1008,0.008007,08-09 10
1009,0.000023,08-09 10
1010,0.877876,08-09 10
